nSeg,nSegNum,CV,realCV,targetMean,realMean,Density,realDensity,L,numL,gurobiMinMax,greedyMinMax,greedyT1,greedyT2,improvedMinMax,improvedT1,improvedT2,errorGreedyAbs,errorGreedy,errorImprovedAbs,errorImproved,kGreedy,kImproved,timeGreedy,timeImproved,timeGurobi
0,8,1,0.6567684615431009,73.10587539157615,81.46,1,0.86,2,1566,1291.4405893849876,1330.199889851076,1,1,1330.199889851076,1,1,38.75930046608846,0.0300124533677127,38.75930046608846,0.0300124533677127,1.0300124533677129,1.0300124533677129,0.0016076043248175,0.0016151145100592,186.06451545655727
1,21,1,0.7316706983609824,20.06370398114955,17.94,1,0.8,2,1556,1300.3595959449249,1312.503575214895,1,1,1312.503575214895,1,1,12.143979269970032,0.0093389392502198,12.143979269970032,0.0093389392502198,1.00933893925022,1.00933893925022,0.0053631886839865,0.0053683146834372,158.12806909531355
0,6,1,0.7071453034820702,55.90393845136264,47.9,1,0.778,2,1251,2272.1839736749225,2305.037295843342,1,2,2277.9023467083507,2,2,32.853322168419254,0.0144589181813846,5.718373033428179,0.0025166857524215,1.0144589181813848,1.0025166857524217,0.0013325810432433,0.0014083981513976,159.54909794032574
0,7,1,0.5740099961553248,43.25219120850148,52.02,1,0.86,2,1568,1299.059448076644,1346.6444802767255,1,1,1346.6444802767255,1,1,47.58503220008152,0.0366303730522377,47.58503220008152,0.0366303730522377,1.0366303730522377,1.0366303730522377,0.0012604445219039,0.0012635365128516,188.78592028468847
0,8,1,0.6935704722665175,48.78593224286767,50.0,1,0.784,2,1421,1294.111095344418,1298.1910787098636,1,1,1298.1910787098636,1,1,4.079983365445742,0.003152730380045,4.079983365445742,0.003152730380045,1.0031527303800452,1.0031527303800452,0.0021200478076934,0.0021197497844695,132.99196065217257
0,3,1,0.6310223668728322,89.26629683648899,107.24,1,0.844,2,1535,1282.2033222002042,1300.7633563605527,1,1,1300.7633563605527,1,1,18.56003416034855,0.0144751100227227,18.56003416034855,0.0144751100227227,1.0144751100227227,1.0144751100227227,0.000846967101097,0.0008704215288161,169.9587865397334
1,12,1,0.6190466243178759,43.71197332519497,50.48,1,0.934,2,1371,1304.8078864121408,1326.93136666664,1,1,1326.93136666664,1,1,22.123480254499327,0.0169553544892595,22.123480254499327,0.0169553544892595,1.0169553544892596,1.0169553544892596,0.0025718882679939,0.002582736313343,207.98826736211777
1,29,1,0.6321974658767855,12.20661798604409,14.46,1,0.804,2,1592,1307.12643379859,1345.9376278465904,1,1,1345.9376278465904,1,1,38.81119404800052,0.0296919969212257,38.81119404800052,0.0296919969212257,1.0296919969212257,1.0296919969212257,0.0114100500941276,0.0114160180091857,175.02437275648117
0,5,1,0.696344502747071,89.46276452254418,95.42,1,0.804,2,1445,1276.4744301339288,1276.4744301339288,1,1,1276.4744301339288,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0013080313801764,0.001324027776718,146.57834618538618
1,18,1,0.8341379006694578,34.98696041865114,32.82,1,0.828,2,1308,1300.7998864921394,1301.9307570035753,1,1,1301.9307570035753,1,1,1.1308705114358872,0.0008693654751811,1.1308705114358872,0.0008693654751811,1.0008693654751812,1.0008693654751812,0.0036654546856879,0.0036693140864371,137.12869554758072
1,26,1,0.6849695166368114,18.21914820373396,19.14,1,0.81,2,1576,1303.134433849404,1303.134433849404,1,1,1303.134433849404,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0072534531354904,0.0072580575942993,171.8338281735778
0,7,1,0.6968269452723074,71.56761502300628,74.88,1,0.85,2,1284,2290.356404712842,2297.40528480553,1,2,2290.3564047128425,2,2,7.048880092687796,0.0030776345891772,4.547473508864641e-13,1.9854872802797652e-16,1.0030776345891772,1.0000000000000002,0.0023171305656432,0.0024002417922019,261.2331772521138
0,9,1,0.6003311888087648,37.85509198441282,40.94,1,0.888,2,1422,1305.682808918746,1327.1655748902317,1,1,1327.1655748902317,1,1,21.482765971485605,0.0164532808617399,21.482765971485605,0.0164532808617399,1.01645328086174,1.01645328086174,0.0015006586909293,0.0015062764286994,230.71963216364384
