Hom,medLongSeg,CV,nSeg,nSegNum,Base,BaseNum,L,Lprop,gurobiMinMax,gurobiT1,gurobiT2,greedyMinMax,greedyT1,greedyT2,improvedMinMax,improvedT1,improvedT2,errorGreedyAbs,errorGreedy,errorImprovedAbs,errorImproved,kGreedy,kImproved
0,10,0.2,0,17,0,0.641421947,1,0.844105942,1613.178619,1,1,2165.376578,0,1,1614.803887,1,1,552.1979591,0.342304288,1.625268036,0.001007494,1.342304288,1.001007494
0,10,0.2,0,18,1,1.427350427,0,0.040791192,3241.130397,2,2,3241.130397,2,2,3241.130397,2,2,3.27E-11,1.01E-14,3.27E-11,1.01E-14,1,1
0,10,0.2,0,16,0,0.346045198,0,0.130008325,1519.080786,1,1,1592.106012,1,1,1592.106012,1,1,73.02522643,0.048071983,73.02522643,0.048071983,1.048071983,1.048071983
0,10,0.2,0,19,1,1.376494024,1,0.455475126,1961.895027,1,1,2061.240749,1,1,2061.240749,1,1,99.34572259,0.050637634,99.34572259,0.050637634,1.050637634,1.050637634
0,10,0.2,0,15,0,0.4078125,1,0.641248926,1406.887695,1,1,1469.53058,1,1,1469.53058,1,1,62.64288505,0.04452586,62.64288505,0.04452586,1.04452586,1.04452586
0,10,0.2,0,16,1,1.095096582,1,0.703610246,2071.484911,1,1,2436.578787,0,1,2083.620129,1,1,365.0938763,0.176247422,12.135218,0.005858222,1.176247422,1.005858222
0,10,0.2,0,17,0,0.747651007,1,0.388316803,1921.720156,1,1,2107.264528,1,1,2107.264528,1,1,185.544372,0.096551192,185.544372,0.096551192,1.096551192,1.096551192
0,10,0.2,0,16,1,1.142675159,1,0.728970278,2515.399242,1,1,2894.210354,1,1,2894.210354,1,1,378.8111118,0.150596814,378.8111118,0.150596814,1.150596814,1.150596814
0,10,0.2,0,18,0,0.064705882,0,0.231201478,1363.34664,1,1,1402.524197,1,1,1363.641667,2,1,39.17755661,0.028736314,0.295026911,0.000216399,1.028736314,1.000216399
0,10,0.2,0,18,1,1.137302552,1,0.590835588,2592.873248,1,1,2902.690029,1,1,2902.690029,1,1,309.816781,0.119487824,309.816781,0.119487824,1.119487824,1.119487824
0,10,0.2,0,18,0,0.630165289,0,0.063017883,1921.518188,2,2,2043.034802,1,2,1941.90249,2,2,121.5166133,0.063239897,20.38430163,0.010608435,1.063239897,1.010608435
0,10,0.2,0,16,1,1.490039841,1,0.945128036,2062.194383,1,1,2616.02315,0,1,2062.194383,1,1,553.8287676,0.268562834,0,0,1.268562834,1
0,10,0.2,0,18,0,0.626760563,1,0.764563444,1454.004745,1,1,1581.580476,1,1,1581.580476,1,1,127.5757314,0.087740932,127.5757314,0.087740932,1.087740932,1.087740932
0,10,0.2,0,17,0,0.839779006,0,0.285583942,1571.821983,1,1,1684.704481,1,1,1684.704481,1,1,112.8824982,0.071816338,112.8824982,0.071816338,1.071816338,1.071816338
0,10,0.2,0,18,0,0.364332604,1,0.479417737,1954.402295,1,1,2069.992563,1,1,2069.992563,1,1,115.5902682,0.059143539,115.5902682,0.059143539,1.059143539,1.059143539
0,10,0.2,0,15,1,1.198412698,0,0.086835569,4237.498335,2,1,4237.498335,1,2,4237.498335,1,2,0,0,0,0,1,1
0,10,0.2,0,17,0,0.828016644,0,0.051872223,1967.870982,1,1,1967.870982,1,1,1967.870982,1,1,2.27E-13,1.16E-16,2.27E-13,1.16E-16,1,1
0,10,0.2,0,15,0,0.990932642,0,0.175964245,2286.679035,1,1,2355.987307,1,1,2355.987307,1,1,69.3082718,0.030309576,69.3082718,0.030309576,1.030309576,1.030309576
0,10,0.2,0,16,0,0.729428173,1,0.683810292,1815.386933,1,1,2204.411211,0,1,1827.414999,1,1,389.0242784,0.214292761,12.02806644,0.006625621,1.214292761,1.006625621
0,10,0.2,0,18,1,1.001953125,0,0.148922647,1618.401263,1,1,1618.401263,1,1,1618.401263,1,1,0,0,0,0,1,1
0,10,0.2,0,17,0,0.191316147,1,0.517569743,1500.895403,1,1,1660.317958,0,1,1502.326397,1,1,159.4225545,0.106218298,1.430994085,0.000953427,1.106218298,1.000953427
0,10,0.2,0,16,0,0.831034483,0,0.007220678,2791.921311,2,2,3057.667779,1,2,2822.418462,2,2,265.7464684,0.095184083,30.49715139,0.010923356,1.095184083,1.010923356
0,10,0.2,0,15,1,1.200626959,1,0.816706185,2196.213299,1,1,2293.628683,1,1,2293.628683,1,1,97.41538376,0.044356067,97.41538376,0.044356067,1.044356067,1.044356067
0,10,0.2,0,17,1,1.202261307,1,0.942482911,2589.216973,1,1,3014.926061,0,1,2603.191896,1,1,425.7090876,0.164416151,13.97492245,0.005397355,1.164416151,1.005397355
0,10,0.2,0,15,1,1.534482759,1,0.909316263,2368.693863,1,1,2943.199376,0,1,2378.169224,1,1,574.5055128,0.242541057,9.47536118,0.004000247,1.242541057,1.004000247
0,10,0.2,0,19,0,0.532544379,1,0.405196831,1581.060972,1,1,1693.976481,1,1,1693.976481,1,1,112.9155083,0.071417555,112.9155083,0.071417555,1.071417555,1.071417555
0,10,0.2,0,19,1,1.360091743,1,0.548280833,1721.738256,1,1,1939.955795,1,1,1939.955795,1,1,218.2175385,0.126742574,218.2175385,0.126742574,1.126742574,1.126742574
0,10,0.2,0,18,1,1.709055877,0,0.080374669,4053.828966,2,2,4053.828966,2,2,4053.828966,2,2,0,0,0,0,1,1
0,10,0.2,0,15,0,0.282608696,1,0.398951872,1168.972527,1,1,1235.366878,1,1,1235.366878,1,1,66.39435149,0.056797187,66.39435149,0.056797187,1.056797187,1.056797187
0,10,0.2,0,19,0,0.388026608,1,0.469621625,1015.601412,1,1,1585.802451,0,1,1018.404262,1,1,570.2010382,0.561441754,2.802849594,0.002759793,1.561441754,1.002759793
0,10,0.2,0,15,0,0.687578419,1,0.609368566,1954.492923,1,1,2295.482833,1,1,2295.482833,1,1,340.9899094,0.174464643,340.9899094,0.174464643,1.174464643,1.174464643
0,10,0.2,0,16,1,1.327332242,0,0.333123919,2179.519482,1,1,2270.134033,1,1,2270.134033,1,1,90.61455055,0.041575472,90.61455055,0.041575472,1.041575472,1.041575472
0,10,0.2,0,19,0,0.606280193,0,0.223228394,1974.040613,1,1,2139.197578,1,1,2139.197578,1,1,165.1569658,0.083664421,165.1569658,0.083664421,1.083664421,1.083664421
0,10,0.2,0,16,1,1.227574751,1,0.475886883,2097.099003,1,1,2140.373918,1,1,2140.373918,1,1,43.27491525,0.020635609,43.27491525,0.020635609,1.020635609,1.020635609
0,10,0.2,0,19,0,0.334273625,0,0.039808021,1508.024866,1,1,1653.612494,1,1,1653.612494,1,1,145.5876277,0.096541928,145.5876277,0.096541928,1.096541928,1.096541928
0,10,0.2,0,19,0,0.028985507,1,0.859444891,1380.773772,1,1,1390.289794,1,1,1381.374538,2,1,9.516022076,0.006891804,0.600765775,0.000435094,1.006891804,1.000435094
0,10,0.2,0,19,0,0.160520607,1,0.887915191,1867.73371,1,1,2017.372826,0,1,1868.6361,1,1,149.6391156,0.080118014,0.90239001,0.000483147,1.080118014,1.000483147
0,10,0.2,0,14,1,1.373101952,0,0.237341911,1822.638432,1,1,1822.638432,1,1,1822.638432,1,1,0,0,0,0,1,1
0,10,0.2,0,17,0,0.950793651,1,0.424143932,1899.619986,1,1,1981.468049,1,1,1981.468049,1,1,81.84806256,0.043086545,81.84806256,0.043086545,1.043086545,1.043086545
0,10,0.2,0,17,1,1.019011407,1,0.621109223,1704.8918,1,1,1758.109619,1,1,1758.109619,1,1,53.21781929,0.031214778,53.21781929,0.031214778,1.031214778,1.031214778
0,10,0.2,0,18,0,0.314211213,1,0.645065898,1611.681144,1,1,1858.777438,0,1,1615.550167,1,1,247.0962938,0.153315868,3.869022648,0.002400613,1.153315868,1.002400613
0,10,0.2,0,16,0,0.185463659,0,0.20975794,1626.946472,1,1,1703.327552,1,1,1629.593943,2,1,76.38108003,0.046947506,2.647471003,0.001627264,1.046947506,1.001627264
0,10,0.2,0,18,1,1.125,1,0.688834856,1956.236667,1,1,2186.05004,1,1,2186.05004,1,1,229.8133731,0.117477285,229.8133731,0.117477285,1.117477285,1.117477285
0,10,0.2,0,16,1,1.423236515,0,0.141229056,3298.737198,2,2,3448.386153,1,2,3314.463279,2,2,149.6489555,0.045365528,15.72608112,0.004767303,1.045365528,1.004767303
0,10,0.2,0,19,0,0.168903803,1,0.670152091,1814.351194,1,1,1985.81184,0,1,1815.137721,1,1,171.4606455,0.094502457,0.786527006,0.000433503,1.094502457,1.000433503
0,10,0.2,0,18,1,1.229865772,1,0.653711945,2110.56133,1,1,2284.807361,1,1,2284.807361,1,1,174.2460302,0.082559093,174.2460302,0.082559093,1.082559093,1.082559093
0,10,0.2,0,17,0,0.054347826,1,0.809816567,1290.406196,1,1,1319.305725,1,1,1290.882768,2,1,28.8995288,0.022395684,0.476572491,0.00036932,1.022395684,1.00036932
0,10,0.2,0,16,0,0.434659091,0,0.005147198,1550.023617,1,1,1610.395261,1,1,1610.395261,1,1,60.37164393,0.038948854,60.37164393,0.038948854,1.038948854,1.038948854
